freOcurr_Id,freOcurr_Group,law_Code,spot_Code,freOcurr_Name,ocurr_Count,injury_Count,dead_Count,sland_Count,sInjury_Count,longitude,latitude,risk
6204321,2016052,2632010300,120626002,부산광역시 북구 만덕동(아침바다 부근),6,7,0,4,2,129.0347188,35.21082192,
6204435,2016052,2626010600,120726001,부산광역시 동래구 수안동(동래교차로 부근),9,9,0,8,1,129.0835443,35.20217486,
6204520,2016052,1144010800,111511001,서울특별시 마포구 대흥동(21세기토탈웨딩 부근),8,9,1,5,3,126.9487376,37.55672907,
6204632,2016052,1144010200,111511002,서울특별시 마포구 공덕동(국민서관앞삼거리 부근),6,6,2,2,2,126.949864,37.54432455,
6204645,2016052,2626010200,120726002,부산광역시 동래구 안락동(전기판넬온수기 부근),7,7,0,7,0,129.1035483,35.19669491,
6204552,2016052,2626010800,120726003,부산광역시 동래구 온천동(내성교차로 부근),6,6,0,5,1,129.0772686,35.20478717,
6204122,2016052,1156010100,111611001,서울특별시 영등포구 영등포동(영등포역 부근),14,14,1,12,1,126.9070119,37.51645472,
6204264,2016052,1154510200,111711001,서울특별시 금천구 독산동(구로전화국_남부순환로_진출 부근),15,18,0,15,2,126.9046414,37.48010019,
6204445,2016052,2626010800,120726004,부산광역시 동래구 온천동(동부터미널교차로 부근),6,6,0,4,0,129.0790382,35.21202657,
6204442,2016052,2626010100,120726005,부산광역시 동래구 명장동(서원태권도학원 부근),5,5,0,3,2,129.0990633,35.20185228,
6204087,2016052,1154510200,111711002,서울특별시 금천구 독산동(시흥4동사거리 부근),9,12,0,6,5,126.9028883,37.46446179,
6204637,2016052,1154510300,111711003,서울특별시 금천구 시흥동(박미삼거리 부근),6,7,0,4,3,126.9024872,37.44873366,
6204446,2016052,2626010900,120726006,부산광역시 동래구 사직동(국민은행사직동지점 부근),4,4,0,2,2,129.0606187,35.19764509,
6204433,2016052,2620010500,120826001,부산광역시 영도구 남항동1가(남항사거리 부근),16,19,1,7,11,129.0389215,35.09039629,
6204018,2016052,1154510200,111711004,서울특별시 금천구 독산동(금천구청입구 부근),5,5,1,2,2,126.8989983,37.45881759,
6204688,2016052,1159010200,111911001,서울특별시 동작구 상도동(교보증권 부근),9,9,0,7,1,126.9372955,37.50369854,
6204228,2016052,2620012000,120826002,부산광역시 영도구 청학동(남성방앗간 부근),4,4,1,2,1,129.0611841,35.09661338,
6204758,2016052,2620011500,120826003,부산광역시 영도구 봉래동1가(농협교차로 부근),3,3,1,2,0,129.0428824,35.08939658,
6204044,2016052,1159010800,111911002,서울특별시 동작구 대방동(신대방삼거리역 부근),7,9,0,4,5,126.9282208,37.49974003,
6204393,2016052,1162010100,112111001,서울특별시 관악구 봉천동(서울대입구역_관악로_진입_2 부근),14,14,1,8,4,126.9523184,37.48070717,
6204650,2016052,2635010300,120926001,부산광역시 해운대구 반여동(코끼리양분식 부근),7,7,0,3,4,129.130858,35.19631129,
6203934,2016052,2635010500,120926002,부산광역시 해운대구 우동(세차뱅크 부근),4,4,0,3,1,129.1562766,35.15855333,
6204692,2016052,1162010200,112111002,서울특별시 관악구 신림동(난곡우체국앞 부근),6,6,0,3,3,126.9157308,37.47761405,
6204086,2016052,1150010800,112311001,서울특별시 강서구 공항동(신한은행앞 부근),6,7,2,2,3,126.8096679,37.56152521,
6204651,2016052,2635010400,120926003,부산광역시 해운대구 재송동(동부지청어귀 부근),4,4,0,3,1,129.1238652,35.18380692,
6204643,2016052,2623010900,121026001,부산광역시 부산진구 당감동(백양순환로 부근),9,9,0,5,4,129.0405572,35.16570989,
